==10880== NVPROF is profiling process 10880, command: python gpu-opt_flow.py
==10880== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==10880== Execution timeout, stopping the application...
==10880== Profiling application: python gpu-opt_flow.py
==10880== Warning: 1 records have invalid timestamps due to insufficient device buffer space. You can configure the buffer space using the option --device-buffer-size.
==10880== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
5.98455s  54.845us             (5 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2185]
5.98461s  175.89us             (5 15 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2187]
5.98479s  1.0558ms            (1 120 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2190]
5.98585s  54.428us             (5 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2196]
5.98591s  176.67us             (5 15 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2198]
5.98609s  1.0541ms            (1 120 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2201]
5.98715s  53.959us             (5 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2207]
5.98754s  143.18us            (10 30 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2214]
5.98769s  140.47us            (10 30 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        45  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2216]
5.98782s  37.448us             (3 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [2218]
5.98786s  34.688us             (3 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        45  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [2220]
5.99359s  1.2500us                    -               -         -         -         -        8B  6.1035MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
5.99371s  1.8700ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        44  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [2235]
5.99557s  1.8682ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        45  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [2241]
5.99743s  144.27us            (10 30 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2237]
5.99757s  141.15us            (10 30 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        45  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2243]
5.99771s  871.89us            (2 240 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        44  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [2239]
5.99857s  958.25us            (2 240 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        45  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [2245]
5.99968s  795.43us            (10 30 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2248]
6.00048s  4.8816ms            (2 240 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2251]
6.00537s  247.45us            (10 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2257]
6.00562s  790.02us            (10 30 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2259]
6.00642s  4.8806ms            (2 240 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2262]
6.01130s  246.20us            (10 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2268]
6.01155s  788.71us            (10 30 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2270]
6.01234s  4.8813ms            (2 240 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2273]
6.01723s  245.63us            (10 30 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2279]
6.01781s  647.62us            (20 60 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2284]
6.01845s  644.13us            (20 60 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        45  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2286]
6.01909s  136.88us             (5 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [2288]
6.01923s  131.57us             (5 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        45  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [2290]
6.03677s  1.3020us                    -               -         -         -         -        8B  5.8597MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.03693s  2.1810ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        44  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [2305]
6.03910s  2.1787ms            (3 480 1)       (256 1 1)        32        0B  1.0078KB         -           -           -           -  NVIDIA Tegra X1         1        45  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [2310]
6.04127s  269.49us                    -               -         -         -         -  1.1719MB  4.2467GB/s      Device      Device  NVIDIA Tegra X1         1        44  [CUDA memcpy DtoD]
6.04154s  269.38us                    -               -         -         -         -  1.1719MB  4.2483GB/s      Device      Device  NVIDIA Tegra X1         1        45  [CUDA memcpy DtoD]
6.04181s  3.1930ms            (3 480 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        44  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [2308]
6.04498s  3.1898ms            (3 480 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        45  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [2313]
6.04838s  3.1527ms            (20 60 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2316]
6.05153s  15.040ms            (3 480 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2319]
6.06658s  977.57us            (20 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2325]
6.06756s  3.1481ms            (20 60 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2327]
6.07072s  11.057ms            (3 480 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2330]
6.08178s  584.23us            (20 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2336]
6.08237s  2.1684ms            (20 60 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2338]
6.08454s  9.1100ms            (3 480 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2341]
6.09365s  584.33us            (20 60 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        44  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2347]
6.09772s  303.03us            (20 60 1)        (32 8 1)        19        0B        0B         -           -           -           -  NVIDIA Tegra X1         1         7  void cv::cudev::grid_split_merge_detail::mergeC2<cv::cudev::GlobPtr<int>, cv::cudev::GlobPtr<int>, int2, cv::cudev::WithOutMask>(int, cv::cudev::GlobPtr<int>, cv::cudev::GlobPtr<cv::cudev::GlobPtr<int>>, int2, int, int) [2358]
6.09868s  1.2547ms                    -               -         -         -         -  2.3438MB  1.8243GB/s      Device    Pageable  NVIDIA Tegra X1         1         7  [CUDA memcpy DtoH]
6.15181s  45.470us                    -               -         -         -         -  300.00KB  6.2921GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15212s  44.480us                    -               -         -         -         -  300.00KB  6.4322GB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15503s  106.15us             (5 60 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [2390]
6.15605s  107.29us             (5 60 1)        (32 8 1)        22        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        50  void cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<unsigned char>, cv::cudev::grid_transform_detail::transformSmart<int=4, unsigned char, float, cv::cudev::saturate_cast_func<unsigned char, float, float>, cv::cudev::WithOutMask>, unsigned char, float, int, int) [2393]
6.15620s     833ns                    -               -         -         -         -       24B  27.477MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15625s     417ns                    -               -         -         -         -       24B  54.888MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15631s     313ns                    -               -         -         -         -       24B  73.125MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15639s     364ns                    -               -         -         -         -        4B  10.480MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15642s     364ns                    -               -         -         -         -        4B  10.480MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15649s     313ns                    -               -         -         -         -        4B  12.188MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15655s     313ns                    -               -         -         -         -        4B  12.188MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15661s     416ns                    -               -         -         -         -       24B  55.020MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.15750s     729ns                    -               -         -         -         -  18.750KB  24.529GB/s      Device           -  NVIDIA Tegra X1         1        49  [CUDA memset]
6.15758s     417ns                    -               -         -         -         -  18.750KB  42.881GB/s      Device           -  NVIDIA Tegra X1         1        50  [CUDA memset]
6.16019s  1.1980us                    -               -         -         -         -       40B  31.842MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.16028s  6.1665ms            (3 480 1)       (256 1 1)        32        0B  1.0703KB         -           -           -           -  NVIDIA Tegra X1         1        49  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [2417]
6.16642s  6.1824ms            (3 480 1)       (256 1 1)        32        0B  1.0703KB         -           -           -           -  NVIDIA Tegra X1         1        50  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [2423]
6.17256s  31.980us              (3 8 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2419]
6.17259s  102.50us             (1 60 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        49  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [2421]
6.17268s  29.219us              (3 8 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        50  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2425]
6.17272s  95.417us             (1 60 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        50  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [2427]
6.17294s  58.074us              (3 8 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2430]
6.17302s  520.01us             (1 60 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2433]
6.17355s  17.605us              (3 8 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2439]
6.17357s  54.792us              (3 8 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2441]
6.17363s  516.57us             (1 60 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2444]
6.17415s  16.980us              (3 8 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2450]
6.17417s  55.678us              (3 8 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2452]
6.17423s  516.36us             (1 60 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2455]
6.17475s  16.928us              (3 8 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2461]
6.17495s  36.823us             (5 15 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2466]
6.17503s  36.355us             (5 15 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        50  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2468]
6.17510s  12.137us             (2 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [2470]
6.17516s  10.625us             (2 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        50  void cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float>, cv::cudev::WithOutMask>(cv::cudev::GlobPtr<float>, cv::cudev::grid_transform_detail::transformSmart<int=4, float, float, _GLOBAL__N__53_tmpxft_00003603_00000000_9_gpu_mat_compute_75_cpp1_ii_71482d89::Convertor<float, float, float, float>, cv::cudev::WithOutMask>, float, float, int, int) [2472]
6.17853s  1.1460us                    -               -         -         -         -       20B  16.644MB/s    Pageable      Device  NVIDIA Tegra X1         1         7  [CUDA memcpy HtoD]
6.17865s  3.3802ms            (3 480 1)       (256 1 1)        32        0B  1.0313KB         -           -           -           -  NVIDIA Tegra X1         1        49  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [2487]
6.18201s  3.3885ms            (3 480 1)       (256 1 1)        32        0B  1.0313KB         -           -           -           -  NVIDIA Tegra X1         1        50  void cv::cuda::device::optflow_farneback::gaussianBlur<cv::cuda::device::BrdReflect101<float>>(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep) [2493]
6.18537s  51.251us             (5 15 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2489]
6.18542s  45.104us             (5 15 1)        (32 8 1)        27        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        50  void cv::cuda::device::resize_linear<float>(cv::cuda::PtrStepSz<float>, float, float, float) [2495]
6.18546s  224.85us            (1 120 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        49  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [2491]
6.18568s  223.60us            (1 120 1)       (256 1 1)        32        0B  3.0000KB         -           -           -           -  NVIDIA Tegra X1         1        50  void cv::cuda::device::optflow_farneback::polynomialExpansion<int=5>(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep) [2497]
6.18607s  183.44us             (5 15 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2500]
6.18626s  1.0580ms            (1 120 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2503]
6.18732s  54.584us             (5 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2509]
6.18738s  178.65us             (5 15 1)        (32 8 1)        48        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateMatrices(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2511]
6.18756s  1.0541ms            (1 120 1)       (256 1 1)        48        0B  5.2734KB         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::boxFilter5(int, int, cv::cuda::PtrStep<float>, int, float, cv::cuda::PtrStep<float>) [2514]
6.18862s  54.324us             (5 15 1)        (32 8 1)        26        0B        0B         -           -           -           -  NVIDIA Tegra X1         1        49  cv::cuda::device::optflow_farneback::updateFlow(int, int, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>, cv::cuda::PtrStep<float>) [2520]
